Date,Time,VRATE,PBLH,WIND_SPEED(GUST),PRATE,Temp,pixelID,lat,lon,u10,v10,u20,v20,u30,v30,u40,v40,u50,v50,u80,v80,u100,v100,file
2023-01-05,18,4000,0,9.501296,0,297.98465,B,13.75,100.75,-3.516096,-4.075735,-4.5803223,-4.953955,-5.2587156,-6.0236473,-6.4164476,-1.8668725,-2.0631666,-2.2874901,-2.4403174,-2.536023,-2.7833471,-2.8862672,gfs.0p25.2023010518.f000.grib2
2023-01-05,18,4000,0,9.801296,0,297.58466,C,14,100.5,-2.1660962,-2.525735,-2.8603222,-3.093955,-3.2887158,-3.7436476,-3.9964478,-3.7968726,-4.3131666,-4.85749,-5.2203174,-5.506023,-6.1433473,-6.446267,gfs.0p25.2023010518.f000.grib2
2023-01-05,18,1000,0,6.501296,0,295.88464,D,13.75,100.25,-0.9260962,-1.1757349,-1.3803222,-1.603955,-1.8287158,-2.5536475,-2.9964478,-2.9068725,-3.2631664,-3.6474903,-3.9603174,-4.236023,-4.903347,-5.186267,gfs.0p25.2023010518.f000.grib2
2023-01-06,0,2000,0,4.402794,0,297.75104,A,13.75,100.5,-2.163208,-2.509651,-2.7909472,-2.9701538,-3.1161866,-3.4266334,-3.5663257,-0.6740625,-0.71613526,-0.7723828,-0.80536133,-0.8267163,-0.8492773,-0.8442383,gfs.0p25.2023010600.f000.grib2
2023-01-06,0,4000,0,10.102794,0,295.25104,B,13.75,100.75,-4.503208,-5.149651,-5.760947,-6.180154,-6.5261865,-7.3066335,-7.7063255,-0.6240625,-0.7561352,-0.85238284,-0.92536134,-0.98671633,-1.1092774,-1.1642383,gfs.0p25.2023010600.f000.grib2
2023-01-06,0,2000,0,7.1027937,0,295.55106,C,14,100.5,-2.453208,-2.8496509,-3.2109473,-3.4401538,-3.6261866,-4.0166335,-4.2063255,-3.1940625,-3.5161352,-3.9023829,-4.135361,-4.3067164,-4.6392775,-4.7842383,gfs.0p25.2023010600.f000.grib2
2023-01-06,0,3000,0,7.802794,0,294.75104,D,13.75,100.25,-1.873208,-2.229651,-2.5109472,-2.7201538,-2.9061866,-3.3266332,-3.5563257,-3.7340624,-4.1461353,-4.6023827,-4.8953614,-5.126716,-5.5992775,-5.814238,gfs.0p25.2023010600.f000.grib2
2023-01-06,6,8000,0,4.011059,0,311.8127,A,13.75,100.5,-2.7071486,-2.772168,-2.9272974,-3.0390406,-3.1138697,-3.2716773,-3.337124,-1.4125683,-1.4553638,-1.5427856,-1.5986792,-1.6347901,-1.7169287,-1.7559448,gfs.0p25.2023010606.f000.grib2
2023-01-06,6,15000,0,7.6110587,0,308.61273,B,13.75,100.75,-5.6371484,-5.972168,-6.3972974,-6.6490407,-6.8038697,-7.1416774,-7.267124,-3.2225683,-3.5053637,-3.7827857,-3.9486792,-4.05479,-4.2869287,-4.3959446,gfs.0p25.2023010606.f000.grib2
2023-01-06,6,6000,0,3.3110588,0,309.11273,C,14,100.5,-2.2871485,-2.302168,-2.4172974,-2.4990406,-2.5438697,-2.6516771,-2.687124,-1.5225683,-1.5753638,-1.6627856,-1.7186792,-1.76479,-1.8469287,-1.8859448,gfs.0p25.2023010606.f000.grib2
2023-01-06,6,6000,0,3.3110588,0,311.01273,D,13.75,100.25,-1.7371484,-1.612168,-1.6772974,-1.7290405,-1.7538697,-1.8316772,-1.8771241,-1.9925684,-1.7653638,-1.8427856,-1.8786792,-1.90479,-1.9669287,-1.9959449,gfs.0p25.2023010606.f000.grib2
2023-01-06,12,13000,0,7.7063355,0,302.2137,A,13.75,100.5,-5.530132,-6.0996923,-6.696504,-7.0836916,-7.36126,-7.8770995,-8.09553,-1.9888697,-2.2711256,-2.5109985,-2.6849024,-2.812705,-3.076626,-3.2066088,gfs.0p25.2023010612.f000.grib2
